,city,category,Name,lat,lng,points,points-lng-lat,geometry
0,Moskow,starbucks,Starbucks,55.75722883551855,37.61658630778593,"{'type': 'Point', 'coordinates': [55.75722883551855, 37.61658630778593]}","{'type': 'Point', 'coordinates': [37.61658630778593, 55.75722883551855]}",POINT (37.61658630778593 55.75722883551855)
1,Moskow,starbucks,Starbucks,55.74761108277242,37.62594759464264,"{'type': 'Point', 'coordinates': [55.74761108277242, 37.62594759464264]}","{'type': 'Point', 'coordinates': [37.62594759464264, 55.74761108277242]}",POINT (37.62594759464264 55.74761108277242)
2,Moskow,starbucks,Starbucks,55.7613519761096,37.632282972335815,"{'type': 'Point', 'coordinates': [55.7613519761096, 37.632282972335815]}","{'type': 'Point', 'coordinates': [37.632282972335815, 55.7613519761096]}",POINT (37.63228297233582 55.7613519761096)
3,Moskow,starbucks,Starbucks (Старбакс),55.76202683038468,37.626800537109375,"{'type': 'Point', 'coordinates': [55.76202683038468, 37.626800537109375]}","{'type': 'Point', 'coordinates': [37.626800537109375, 55.76202683038468]}",POINT (37.62680053710938 55.76202683038468)
4,Moskow,starbucks,Starbucks,55.760071,37.614183,"{'type': 'Point', 'coordinates': [55.760071, 37.614183]}","{'type': 'Point', 'coordinates': [37.614183, 55.760071]}",POINT (37.614183 55.760071)
5,Moskow,starbucks,Starbucks,55.756532,37.605943,"{'type': 'Point', 'coordinates': [55.756532, 37.605943]}","{'type': 'Point', 'coordinates': [37.605943, 55.756532]}",POINT (37.605943 55.756532)
6,Moskow,starbucks,Starbucks,55.75097575728379,37.596059499122426,"{'type': 'Point', 'coordinates': [55.75097575728379, 37.596059499122426]}","{'type': 'Point', 'coordinates': [37.596059499122426, 55.75097575728379]}",POINT (37.59605949912243 55.75097575728379)
7,Moskow,starbucks,Starbucks Reserve Bar,55.762903,37.619701,"{'type': 'Point', 'coordinates': [55.762903, 37.619701]}","{'type': 'Point', 'coordinates': [37.619701, 55.762903]}",POINT (37.619701 55.762903)
8,Moskow,starbucks,Starbucks,55.773731736442436,37.60376304388046,"{'type': 'Point', 'coordinates': [55.773731736442436, 37.60376304388046]}","{'type': 'Point', 'coordinates': [37.60376304388046, 55.773731736442436]}",POINT (37.60376304388046 55.77373173644244)
9,Moskow,starbucks,Starbucks,55.755451,37.615254,"{'type': 'Point', 'coordinates': [55.755451, 37.615254]}","{'type': 'Point', 'coordinates': [37.615254, 55.755451]}",POINT (37.615254 55.755451)
10,Moskow,starbucks,Starbucks,55.752124,37.596075,"{'type': 'Point', 'coordinates': [55.752124, 37.596075]}","{'type': 'Point', 'coordinates': [37.596075, 55.752124]}",POINT (37.596075 55.752124)
11,Moskow,starbucks,Starbucks Shop,55.758015,37.62253,"{'type': 'Point', 'coordinates': [55.758015, 37.62253]}","{'type': 'Point', 'coordinates': [37.62253, 55.758015]}",POINT (37.62253 55.758015)
12,Moskow,starbucks,Starbucks,55.74894788251753,37.58973640480269,"{'type': 'Point', 'coordinates': [55.74894788251753, 37.58973640480269]}","{'type': 'Point', 'coordinates': [37.58973640480269, 55.74894788251753]}",POINT (37.58973640480269 55.74894788251753)
13,Moskow,starbucks,Starbucks,55.740996864514884,37.62726418488322,"{'type': 'Point', 'coordinates': [55.740996864514884, 37.62726418488322]}","{'type': 'Point', 'coordinates': [37.62726418488322, 55.740996864514884]}",POINT (37.62726418488322 55.74099686451488)
14,Moskow,starbucks,Starbucks,55.773330105582865,37.620341777801514,"{'type': 'Point', 'coordinates': [55.773330105582865, 37.620341777801514]}","{'type': 'Point', 'coordinates': [37.620341777801514, 55.773330105582865]}",POINT (37.62034177780151 55.77333010558286)
15,Moskow,starbucks,Starbucks,55.741,37.622929,"{'type': 'Point', 'coordinates': [55.741, 37.622929]}","{'type': 'Point', 'coordinates': [37.622929, 55.741]}",POINT (37.622929 55.741)
16,Moskow,starbucks,Starbucks On The Go,55.753166,37.58783,"{'type': 'Point', 'coordinates': [55.753166, 37.58783]}","{'type': 'Point', 'coordinates': [37.58783, 55.753166]}",POINT (37.58783 55.753166)
17,Moskow,bars,BARS,55.77062361680949,37.625465325238835,"{'type': 'Point', 'coordinates': [55.77062361680949, 37.625465325238835]}","{'type': 'Point', 'coordinates': [37.625465325238835, 55.77062361680949]}",POINT (37.62546532523884 55.77062361680949)
18,Moskow,bars,BARS CLUB,55.74931724712044,37.599566051534126,"{'type': 'Point', 'coordinates': [55.74931724712044, 37.599566051534126]}","{'type': 'Point', 'coordinates': [37.599566051534126, 55.74931724712044]}",POINT (37.59956605153413 55.74931724712044)
19,Moskow,bars,Vega Bar Spot,55.757376831830015,37.61720232635028,"{'type': 'Point', 'coordinates': [55.757376831830015, 37.61720232635028]}","{'type': 'Point', 'coordinates': [37.61720232635028, 55.757376831830015]}",POINT (37.61720232635028 55.75737683183002)
20,Moskow,bars,Barsook Beauty,55.760434,37.614011,"{'type': 'Point', 'coordinates': [55.760434, 37.614011]}","{'type': 'Point', 'coordinates': [37.614011, 55.760434]}",POINT (37.614011 55.760434)
21,Moskow,bars,Горнист craft bar shop,55.758954,37.642178,"{'type': 'Point', 'coordinates': [55.758954, 37.642178]}","{'type': 'Point', 'coordinates': [37.642178, 55.758954]}",POINT (37.642178 55.758954)
22,Moskow,bars,Essie Nail Bar Sakurami,55.76688,37.610501,"{'type': 'Point', 'coordinates': [55.76688, 37.610501]}","{'type': 'Point', 'coordinates': [37.610501, 55.76688]}",POINT (37.610501 55.76688)
23,Moskow,bars,Beauty Bar SunLena,55.767217,37.632488,"{'type': 'Point', 'coordinates': [55.767217, 37.632488]}","{'type': 'Point', 'coordinates': [37.632488, 55.767217]}",POINT (37.632488 55.767217)
24,Moskow,train station,Connolly Station,55.76234623357299,37.612865570425654,"{'type': 'Point', 'coordinates': [55.76234623357299, 37.612865570425654]}","{'type': 'Point', 'coordinates': [37.612865570425654, 55.76234623357299]}",POINT (37.61286557042565 55.76234623357299)
25,Moskow,train station,Craft Station,55.76165734034359,37.62383523629991,"{'type': 'Point', 'coordinates': [55.76165734034359, 37.62383523629991]}","{'type': 'Point', 'coordinates': [37.62383523629991, 55.76165734034359]}",POINT (37.62383523629991 55.76165734034359)
26,Moskow,train station,Craft Station,55.765116305892164,37.60839571243749,"{'type': 'Point', 'coordinates': [55.765116305892164, 37.60839571243749]}","{'type': 'Point', 'coordinates': [37.60839571243749, 55.765116305892164]}",POINT (37.60839571243749 55.76511630589216)
27,Moskow,train station,metro Okhotny Ryad (Метро Охотный Ряд),55.756964,37.615524,"{'type': 'Point', 'coordinates': [55.756964, 37.615524]}","{'type': 'Point', 'coordinates': [37.615524, 55.756964]}",POINT (37.615524 55.756964)
28,Moskow,train station,metro Teatralnaya (Метро Театральная),55.757967,37.619001,"{'type': 'Point', 'coordinates': [55.757967, 37.619001]}","{'type': 'Point', 'coordinates': [37.619001, 55.757967]}",POINT (37.619001 55.757967)
29,Moskow,train station,Translation Station,55.76108377016533,37.63148307566473,"{'type': 'Point', 'coordinates': [55.76108377016533, 37.63148307566473]}","{'type': 'Point', 'coordinates': [37.63148307566473, 55.76108377016533]}",POINT (37.63148307566473 55.76108377016533)
30,Moskow,train station,Cool Train Jazz Club,55.7665831909205,37.593776260366496,"{'type': 'Point', 'coordinates': [55.7665831909205, 37.593776260366496]}","{'type': 'Point', 'coordinates': [37.593776260366496, 55.7665831909205]}",POINT (37.5937762603665 55.7665831909205)
31,Moskow,train station,VICTORY TRAIN,55.758178768246324,37.59935701071673,"{'type': 'Point', 'coordinates': [55.758178768246324, 37.59935701071673]}","{'type': 'Point', 'coordinates': [37.59935701071673, 55.758178768246324]}",POINT (37.59935701071673 55.75817876824632)
32,Moskow,train station,Craft Station 3,55.76133889707279,37.63641357421875,"{'type': 'Point', 'coordinates': [55.76133889707279, 37.63641357421875]}","{'type': 'Point', 'coordinates': [37.63641357421875, 55.76133889707279]}",POINT (37.63641357421875 55.76133889707279)
33,Moskow,train station,"metro Arbatskaya, line 3 (Метро Арбатская, АПЛ)",55.75240242680589,37.60339021682739,"{'type': 'Point', 'coordinates': [55.75240242680589, 37.60339021682739]}","{'type': 'Point', 'coordinates': [37.60339021682739, 55.75240242680589]}",POINT (37.60339021682739 55.75240242680589)
34,Moskow,train station,Dance Station,55.762135,37.633537,"{'type': 'Point', 'coordinates': [55.762135, 37.633537]}","{'type': 'Point', 'coordinates': [37.633537, 55.762135]}",POINT (37.633537 55.762135)
35,Moskow,train station,Training Predestination,55.74936290366843,37.58015078749927,"{'type': 'Point', 'coordinates': [55.74936290366843, 37.58015078749927]}","{'type': 'Point', 'coordinates': [37.58015078749927, 55.74936290366843]}",POINT (37.58015078749927 55.74936290366843)
36,Moskow,train station,metro Tretyakovskaya (Метро Третьяковская),55.74079125106981,37.62570236491285,"{'type': 'Point', 'coordinates': [55.74079125106981, 37.62570236491285]}","{'type': 'Point', 'coordinates': [37.62570236491285, 55.74079125106981]}",POINT (37.62570236491285 55.74079125106981)
37,Moskow,train station,Luxury tuning station,55.76194147578398,37.642378106450515,"{'type': 'Point', 'coordinates': [55.76194147578398, 37.642378106450515]}","{'type': 'Point', 'coordinates': [37.642378106450515, 55.76194147578398]}",POINT (37.64237810645051 55.76194147578398)
38,Moskow,train station,metro Barrikadnaya (Метро Баррикадная),55.76055233160587,37.58116577626829,"{'type': 'Point', 'coordinates': [55.76055233160587, 37.58116577626829]}","{'type': 'Point', 'coordinates': [37.58116577626829, 55.76055233160587]}",POINT (37.58116577626829 55.76055233160587)
39,Moskow,train station,Студия депиляции Depilation Location,55.76246,37.60653,"{'type': 'Point', 'coordinates': [55.76246, 37.60653]}","{'type': 'Point', 'coordinates': [37.60653, 55.76246]}",POINT (37.60653 55.76246)
40,Moskow,train station,ROSBRI — Central Station,55.75222796372337,37.586847328605394,"{'type': 'Point', 'coordinates': [55.75222796372337, 37.586847328605394]}","{'type': 'Point', 'coordinates': [37.586847328605394, 55.75222796372337]}",POINT (37.58684732860539 55.75222796372337)
41,Moskow,train station,WebStation,55.773553605145274,37.61139798913356,"{'type': 'Point', 'coordinates': [55.773553605145274, 37.61139798913356]}","{'type': 'Point', 'coordinates': [37.61139798913356, 55.773553605145274]}",POINT (37.61139798913356 55.77355360514527)
42,Moskow,train station,metro Kropotkinskaya (Метро Кропоткинская),55.74495343705397,37.601577043533325,"{'type': 'Point', 'coordinates': [55.74495343705397, 37.601577043533325]}","{'type': 'Point', 'coordinates': [37.601577043533325, 55.74495343705397]}",POINT (37.60157704353333 55.74495343705397)
43,Moskow,train station,amadeus training class,55.760057,37.63706,"{'type': 'Point', 'coordinates': [55.760057, 37.63706]}","{'type': 'Point', 'coordinates': [37.63706, 55.760057]}",POINT (37.63706 55.760057)
