,city,category,Name,lat,lng,points,points-lng-lat,geometry
0,New York,web design company,IBIS Studio | NYC SEO & Web Design Company,40.751888,-73.97949,"{'type': 'Point', 'coordinates': [40.751888, -73.97949]}","{'type': 'Point', 'coordinates': [-73.97949, 40.751888]}",POINT (-73.97949 40.751888)
1,New York,web design company,Website Design Company,40.749857912194386,-73.98367166519165,"{'type': 'Point', 'coordinates': [40.749857912194386, -73.98367166519165]}","{'type': 'Point', 'coordinates': [-73.98367166519165, 40.749857912194386]}",POINT (-73.98367166519165 40.74985791219439)
2,New York,web design company,Unified Infotech - Web Design & Development Company,40.744012414543874,-73.9855129096344,"{'type': 'Point', 'coordinates': [40.744012414543874, -73.9855129096344]}","{'type': 'Point', 'coordinates': [-73.9855129096344, 40.744012414543874]}",POINT (-73.98551290963439 40.74401241454387)
3,New York,web design company,Website Design by Syntelex,40.74551752113523,-73.98721218109131,"{'type': 'Point', 'coordinates': [40.74551752113523, -73.98721218109131]}","{'type': 'Point', 'coordinates': [-73.98721218109131, 40.74551752113523]}",POINT (-73.98721218109131 40.74551752113523)
4,New York,web design company,web design,40.7529182434082,-73.9866943359375,"{'type': 'Point', 'coordinates': [40.7529182434082, -73.9866943359375]}","{'type': 'Point', 'coordinates': [-73.9866943359375, 40.7529182434082]}",POINT (-73.9866943359375 40.7529182434082)
5,New York,web design company,"484Beyond -  an Interactive Design Concepts, Branding, Production & Management Company",40.740095,-73.991716,"{'type': 'Point', 'coordinates': [40.740095, -73.991716]}","{'type': 'Point', 'coordinates': [-73.991716, 40.740095]}",POINT (-73.991716 40.740095)
6,New York,web design company,Codersfx Web Design & Development,40.7454850077737,-73.98913264274597,"{'type': 'Point', 'coordinates': [40.7454850077737, -73.98913264274597]}","{'type': 'Point', 'coordinates': [-73.98913264274597, 40.7454850077737]}",POINT (-73.98913264274597 40.7454850077737)
7,New York,web design company,BlueMeridien Website Design and Hosting New York,40.74537121088314,-73.98678302764893,"{'type': 'Point', 'coordinates': [40.74537121088314, -73.98678302764893]}","{'type': 'Point', 'coordinates': [-73.98678302764893, 40.74537121088314]}",POINT (-73.98678302764893 40.74537121088314)
8,New York,web design company,STEALTH - New York Web Design & Marketing,40.75039434535128,-73.98019552230835,"{'type': 'Point', 'coordinates': [40.75039434535128, -73.98019552230835]}","{'type': 'Point', 'coordinates': [-73.98019552230835, 40.75039434535128]}",POINT (-73.98019552230835 40.75039434535128)
9,New York,web design company,BSP - Law Firm Web Design | Law Firm Marketing | Legal SEO,40.75205238411236,-73.98372530937195,"{'type': 'Point', 'coordinates': [40.75205238411236, -73.98372530937195]}","{'type': 'Point', 'coordinates': [-73.98372530937195, 40.75205238411236]}",POINT (-73.98372530937195 40.75205238411236)
10,New York,web design company,WebDesign Access,40.7422905386445,-73.99278236714963,"{'type': 'Point', 'coordinates': [40.7422905386445, -73.99278236714963]}","{'type': 'Point', 'coordinates': [-73.99278236714963, 40.7422905386445]}",POINT (-73.99278236714963 40.7422905386445)
11,New York,web design company,Law Firm Web Design Studio,40.750646304885855,-73.97754549980162,"{'type': 'Point', 'coordinates': [40.750646304885855, -73.97754549980162]}","{'type': 'Point', 'coordinates': [-73.97754549980162, 40.750646304885855]}",POINT (-73.97754549980162 40.75064630488585)
12,New York,web design company,Hudson Creative,40.744049,-73.985201,"{'type': 'Point', 'coordinates': [40.744049, -73.985201]}","{'type': 'Point', 'coordinates': [-73.985201, 40.744049]}",POINT (-73.985201 40.744049)
13,New York,web design company,SupersumWeb New York Web Design Consultants,40.75515,-73.985505,"{'type': 'Point', 'coordinates': [40.75515, -73.985505]}","{'type': 'Point', 'coordinates': [-73.985505, 40.75515]}",POINT (-73.985505 40.75515)
14,New York,web design company,South Shore Design | Manhattan Website SEO Experts,40.7504971,-73.9806384,"{'type': 'Point', 'coordinates': [40.7504971, -73.9806384]}","{'type': 'Point', 'coordinates': [-73.9806384, 40.7504971]}",POINT (-73.9806384 40.7504971)
15,New York,web design company,Geek In NY - Web Design & Online Marketing,40.75239944458,-73.973098754883,"{'type': 'Point', 'coordinates': [40.75239944458, -73.973098754883]}","{'type': 'Point', 'coordinates': [-73.973098754883, 40.75239944458]}",POINT (-73.973098754883 40.75239944458)
16,New York,web design company,Top Rank SEO Marketing & Web Design Development Manhattan New York,40.75310895587201,-74.00100946426392,"{'type': 'Point', 'coordinates': [40.75310895587201, -74.00100946426392]}","{'type': 'Point', 'coordinates': [-74.00100946426392, 40.75310895587201]}",POINT (-74.00100946426392 40.75310895587201)
